# Theta(rad) Phi(rad) Memory(strain)
4.333231246330749298e-01 2.023398658244273562e+00 1.679833652752841995e-26
4.333231246330749298e-01 2.129893324467656335e+00 1.201248108938172764e-26
4.333231246330749298e-01 2.236387990691039107e+00 6.759242066958857405e-27
4.333231246330749298e-01 2.342882656914421879e+00 1.261572432722870146e-27
4.333231246330749298e-01 2.449377323137804652e+00 -3.987862462855846486e-27
4.333231246330749298e-01 2.555871989361187424e+00 -8.729660391509892726e-27
4.333231246330749298e-01 2.662366655584570196e+00 -1.309911512265017514e-26
4.333231246330749298e-01 2.768861321807952969e+00 -1.672226655797027121e-26
4.333231246330749298e-01 2.875355988031336185e+00 -1.971904719941534329e-26
4.333231246330749298e-01 2.981850654254718958e+00 -2.179020158890628507e-26
4.333231246330749298e-01 3.088345320478101730e+00 -2.259600819015784439e-26
4.333231246330749298e-01 3.194839986701484502e+00 -2.218831440810743220e-26
4.333231246330749298e-01 3.301334652924867274e+00 -2.086465820959216511e-26
4.333231246330749298e-01 3.407829319148250047e+00 -1.833125475998065076e-26
4.333231246330749298e-01 3.514323985371632819e+00 -1.517899045388461697e-26
4.333231246330749298e-01 3.620818651595015591e+00 -1.119047708901656130e-26
4.333231246330749298e-01 3.727313317818398364e+00 -6.506790606184215922e-27
4.333231246330749298e-01 3.833807984041781136e+00 -1.451913365803083024e-27
4.333231246330749298e-01 3.940302650265163908e+00 3.959827489186052800e-27
4.333231246330749298e-01 4.046797316488547125e+00 9.217632244696709037e-27
4.333231246330749298e-01 4.153291982711929897e+00 1.458085072213831763e-26
4.333231246330749298e-01 4.259786648935312670e+00 1.946285544398786590e-26
4.333231246330749298e-01 4.366281315158695442e+00 2.358976914546969044e-26
4.333231246330749298e-01 4.472775981382078214e+00 2.706033320574062841e-26
4.333231246330749298e-01 4.579270647605460987e+00 2.898202130507164610e-26
4.333231246330749298e-01 4.685765313828843759e+00 2.969372705847514564e-26
4.333231246330749298e-01 4.792259980052226531e+00 2.917739677591216421e-26
4.333231246330749298e-01 4.898754646275609304e+00 2.787418356134937053e-26
4.333231246330749298e-01 5.005249312498992076e+00 2.516990559788727333e-26
4.333231246330749298e-01 5.111743978722374848e+00 2.166654855454794206e-26
4.333231246330749298e-01 5.218238644945757621e+00 1.749409384627133880e-26
4.333231246330749298e-01 5.324733311169140393e+00 1.260256006866410572e-26
4.333231246330749298e-01 5.431227977392523165e+00 7.409923121715286248e-27
4.333231246330749298e-01 5.537722643615905938e+00 1.963331820679504214e-27
4.333231246330749298e-01 5.644217309839288710e+00 -3.363131144616757070e-27
4.333231246330749298e-01 5.750711976062672370e+00 -8.414578162243414647e-27
4.333231246330749298e-01 5.857206642286055143e+00 -1.299381452616618508e-26
4.333231246330749298e-01 5.963701308509437915e+00 -1.683860874951216707e-26
4.333231246330749298e-01 6.070195974732820687e+00 -1.963713296109739170e-26
4.333231246330749298e-01 6.176690640956203460e+00 -2.131756930119655477e-26
4.333231246330749298e-01 6.283185307179586232e+00 -2.205237617630990893e-26
5.416539057913436483e-01 0.000000000000000000e+00 -2.780889872893507111e-26
5.416539057913436483e-01 1.064946662233828140e-01 -2.741716669717415857e-26
5.416539057913436483e-01 2.129893324467656279e-01 -2.530811943419012478e-26
5.416539057913436483e-01 3.194839986701484280e-01 -2.217206683352040173e-26
5.416539057913436483e-01 4.259786648935312559e-01 -1.768540031759768485e-26
5.416539057913436483e-01 5.324733311169140837e-01 -1.208307997367512428e-26
5.416539057913436483e-01 6.389679973402968560e-01 -5.573771502861725126e-27
5.416539057913436483e-01 7.454626635636797394e-01 1.949587269796973709e-27
5.416539057913436483e-01 8.519573297870625117e-01 9.638600891274986143e-27
5.416539057913436483e-01 9.584519960104452840e-01 1.686429153163189971e-26
5.416539057913436483e-01 1.064946662233828167e+00 2.300951550582690096e-26
5.416539057913436483e-01 1.171441328457210940e+00 2.839621145545034791e-26
5.416539057913436483e-01 1.277935994680593712e+00 3.264091193743070042e-26
5.416539057913436483e-01 1.384430660903976484e+00 3.588068406239413268e-26
5.416539057913436483e-01 1.490925327127359479e+00 3.762937067902724966e-26
5.416539057913436483e-01 1.597419993350742251e+00 3.822536664895310051e-26
5.416539057913436483e-01 1.703914659574125023e+00 3.723715870269348718e-26
5.416539057913436483e-01 1.810409325797507796e+00 3.466059049226543253e-26
5.416539057913436483e-01 1.916903992020890568e+00 3.051828071019394381e-26
5.416539057913436483e-01 2.023398658244273562e+00 2.485969624978064564e-26
5.416539057913436483e-01 2.129893324467656335e+00 1.850497587730382818e-26
5.416539057913436483e-01 2.236387990691039107e+00 1.149207445623497157e-26
5.416539057913436483e-01 2.342882656914421879e+00 4.126196168992707973e-27
5.416539057913436483e-01 2.449377323137804652e+00 -3.078671762434085882e-27
5.416539057913436483e-01 2.555871989361187424e+00 -1.002830309676128870e-26
5.416539057913436483e-01 2.662366655584570196e+00 -1.622905933271844693e-26
5.416539057913436483e-01 2.768861321807952969e+00 -2.124194892269446763e-26
5.416539057913436483e-01 2.875355988031336185e+00 -2.524421503625510422e-26
5.416539057913436483e-01 2.981850654254718958e+00 -2.766301647977359269e-26
