# Theta(rad) Phi(rad) Memory(strain)
1.064946662233828140e-01 5.279987653092089311e-02 -1.105152270773559673e-27
1.064946662233828140e-01 1.055997530618417862e-01 -1.167346248393057626e-27
1.064946662233828140e-01 1.583996295927626863e-01 -1.270429509097115182e-27
1.064946662233828140e-01 2.111995061236835725e-01 -1.225187928994590135e-27
1.064946662233828140e-01 2.639993826546044864e-01 -9.765540603426228975e-28
1.064946662233828140e-01 3.167992591855253726e-01 -8.306461491727458609e-28
1.064946662233828140e-01 3.695991357164462587e-01 -7.086902643066242053e-28
1.064946662233828140e-01 4.223990122473671449e-01 -6.131670902886447729e-28
1.064946662233828140e-01 4.751988887782880311e-01 -5.453646482902707751e-28
1.064946662233828140e-01 5.279987653092089728e-01 -5.048887399435378433e-28
1.064946662233828140e-01 5.807986418401298589e-01 -3.593244415879241120e-28
1.064946662233828140e-01 6.335985183710507451e-01 9.898916618190805525e-29
1.064946662233828140e-01 6.863983949019716313e-01 2.303043785327752153e-28
1.064946662233828140e-01 7.391982714328925175e-01 3.070167128099549002e-28
1.064946662233828140e-01 7.919981479638134036e-01 3.601346137614995246e-28
1.064946662233828140e-01 8.447980244947342898e-01 4.218147379102809898e-28
1.064946662233828140e-01 8.975979010256551760e-01 5.190273370564981281e-28
1.064946662233828140e-01 9.503977775565760622e-01 6.970544253553526831e-28
1.064946662233828140e-01 1.003197654087496948e+00 1.109226462436811649e-27
1.064946662233828140e-01 1.055997530618417946e+00 1.210159974279063511e-27
1.064946662233828140e-01 1.108797407149338721e+00 1.298205032594837254e-27
1.064946662233828140e-01 1.161597283680259718e+00 1.404303732794956260e-27
1.064946662233828140e-01 1.214397160211180493e+00 1.532717222537607542e-27
1.064946662233828140e-01 1.267197036742101490e+00 1.690045440564861916e-27
1.064946662233828140e-01 1.319996913273022265e+00 1.933245200383362335e-27
1.064946662233828140e-01 1.372796789803943263e+00 2.520309153661345987e-27
1.064946662233828140e-01 1.425596666334864038e+00 2.336868562146646677e-27
1.064946662233828140e-01 1.478396542865785035e+00 2.133425464395974983e-27
1.064946662233828140e-01 1.531196419396705810e+00 2.037331948123510438e-27
1.064946662233828140e-01 1.583996295927626807e+00 1.990716219877092553e-27
1.064946662233828140e-01 1.636796172458547582e+00 1.986469049993286128e-27
1.064946662233828140e-01 1.689596048989468580e+00 2.038564104124210294e-27
1.064946662233828140e-01 1.742395925520389577e+00 2.222473383764079909e-27
1.064946662233828140e-01 1.795195802051310352e+00 1.922337457690293783e-27
1.064946662233828140e-01 1.847995678582231349e+00 1.569836862284326981e-27
1.064946662233828140e-01 1.900795555113152124e+00 1.387645319849163154e-27
1.064946662233828140e-01 1.953595431644073122e+00 1.248016277603568433e-27
1.064946662233828140e-01 2.006395308174993897e+00 1.140999365933607190e-27
1.064946662233828140e-01 2.059195184705914894e+00 1.056010044861612101e-27
1.064946662233828140e-01 2.111995061236835891e+00 9.847551976933868783e-28
1.064946662233828140e-01 2.164794937767756444e+00 7.037076753207077481e-28
1.064946662233828140e-01 2.217594814298677441e+00 3.396584577812702096e-28
1.064946662233828140e-01 2.270394690829598439e+00 1.716521220210186589e-28
1.064946662233828140e-01 2.323194567360519436e+00 1.825373788239399821e-29
1.064946662233828140e-01 2.375994443891439989e+00 -1.312525204934667572e-28
1.064946662233828140e-01 2.428794320422360986e+00 -2.855811502059205776e-28
1.064946662233828140e-01 2.481594196953281983e+00 -4.477624990328515952e-28
1.064946662233828140e-01 2.534394073484202980e+00 -6.577734598332791632e-28
1.064946662233828140e-01 2.587193950015123978e+00 -9.102055286079045888e-28
1.064946662233828140e-01 2.639993826546044531e+00 -1.010435813110934741e-27
1.064946662233828140e-01 2.692793703076965528e+00 -1.098007606731290530e-27
1.064946662233828140e-01 2.745593579607886525e+00 -1.181875047225829738e-27
1.064946662233828140e-01 2.798393456138807522e+00 -1.271037763778103768e-27
1.064946662233828140e-01 2.851193332669728076e+00 -1.372036798232658661e-27
1.064946662233828140e-01 2.903993209200649073e+00 -1.539354743247341180e-27
1.064946662233828140e-01 2.956793085731570070e+00 -1.821316689722834580e-27
1.064946662233828140e-01 3.009592962262491067e+00 -1.647738743895699287e-27
1.064946662233828140e-01 3.062392838793411620e+00 -1.543707552507635671e-27
1.064946662233828140e-01 3.115192715324332617e+00 -1.483840115988562047e-27
1.064946662233828140e-01 3.167992591855253615e+00 -1.449709187449588596e-27
1.064946662233828140e-01 3.220792468386174612e+00 -1.435632353516130078e-27
1.064946662233828140e-01 3.273592344917095165e+00 -1.437366198784149358e-27
1.064946662233828140e-01 3.326392221448016162e+00 -1.449482765480512841e-27
1.064946662233828140e-01 3.379192097978937159e+00 -1.217628263100988159e-27
1.064946662233828140e-01 3.431991974509858156e+00 -1.021810337354722319e-27
1.064946662233828140e-01 3.484791851040779154e+00 -8.538116433301498405e-28
1.064946662233828140e-01 3.537591727571699707e+00 -6.985586785846433489e-28
1.064946662233828140e-01 3.590391604102620704e+00 -5.580000892180388850e-28
1.064946662233828140e-01 3.643191480633541701e+00 -4.302819987067475401e-28
1.064946662233828140e-01 3.695991357164462698e+00 -3.102578304718423345e-28
1.064946662233828140e-01 3.748791233695383252e+00 1.801835294062307168e-28
1.064946662233828140e-01 3.801591110226304249e+00 5.394379378182986290e-28
1.064946662233828140e-01 3.854390986757225246e+00 7.739295788197143391e-28
1.064946662233828140e-01 3.907190863288146243e+00 1.006991175586427737e-27
1.064946662233828140e-01 3.959990739819066796e+00 1.245255222013276812e-27
1.064946662233828140e-01 4.012790616349987793e+00 1.497727322680215810e-27
1.064946662233828140e-01 4.065590492880908791e+00 1.771557361946401566e-27
1.064946662233828140e-01 4.118390369411829788e+00 2.244999915448963514e-27
1.064946662233828140e-01 4.171190245942750785e+00 2.628081518380697797e-27
1.064946662233828140e-01 4.223990122473671782e+00 2.787866352775903215e-27
1.064946662233828140e-01 4.276789999004592779e+00 2.949399463362053539e-27
1.064946662233828140e-01 4.329589875535512888e+00 3.119174548132591861e-27
1.064946662233828140e-01 4.382389752066433886e+00 3.307715653026995386e-27
1.064946662233828140e-01 4.435189628597354883e+00 3.527570372995567263e-27
1.064946662233828140e-01 4.487989505128275880e+00 3.920058219897170918e-27
1.064946662233828140e-01 4.540789381659196877e+00 4.243202415164333407e-27
1.064946662233828140e-01 4.593589258190117874e+00 4.026592427092461723e-27
1.064946662233828140e-01 4.646389134721038872e+00 3.942116358085522925e-27
1.064946662233828140e-01 4.699189011251959869e+00 3.908043031028131382e-27
1.064946662233828140e-01 4.751988887782879978e+00 3.905045952646667976e-27
1.064946662233828140e-01 4.804788764313800975e+00 3.923243956616816369e-27
1.064946662233828140e-01 4.857588640844721972e+00 3.955090536835437343e-27
1.064946662233828140e-01 4.910388517375642969e+00 3.935850023041294196e-27
1.064946662233828140e-01 4.963188393906563967e+00 3.645002368338228721e-27
1.064946662233828140e-01 5.015988270437484964e+00 3.423438432637426359e-27
1.064946662233828140e-01 5.068788146968405961e+00 3.223368412898187409e-27
1.064946662233828140e-01 5.121588023499326958e+00 3.048390828636972496e-27
1.064946662233828140e-01 5.174387900030247955e+00 2.900352113144069386e-27
1.064946662233828140e-01 5.227187776561168064e+00 2.768207647355713488e-27
1.064946662233828140e-01 5.279987653092089062e+00 2.611984236799846724e-27
1.064946662233828140e-01 5.332787529623010059e+00 2.106397451227744070e-27
1.064946662233828140e-01 5.385587406153931056e+00 1.841566810981227823e-27
1.064946662233828140e-01 5.438387282684852053e+00 1.641334003085231887e-27
1.064946662233828140e-01 5.491187159215773050e+00 1.452703482089812357e-27
1.064946662233828140e-01 5.543987035746694048e+00 1.263855974407982596e-27
1.064946662233828140e-01 5.596786912277615045e+00 1.062080296926806742e-27
1.064946662233828140e-01 5.649586788808535154e+00 8.286508447554891742e-28
1.064946662233828140e-01 5.702386665339456151e+00 3.778289295747838994e-28
1.064946662233828140e-01 5.755186541870377148e+00 1.453817469057409604e-28
1.064946662233828140e-01 5.807986418401298145e+00 -6.720160135936060459e-30
1.064946662233828140e-01 5.860786294932219143e+00 -1.673721507620489859e-28
1.064946662233828140e-01 5.913586171463140140e+00 -3.390324608031906240e-28
1.064946662233828140e-01 5.966386047994061137e+00 -5.237326910527261078e-28
1.064946662233828140e-01 6.019185924524982134e+00 -7.217625690380492404e-28
1.064946662233828140e-01 6.071985801055903131e+00 -9.909487360377973890e-28
1.064946662233828140e-01 6.124785677586823240e+00 -1.090599182375814832e-27
1.064946662233828140e-01 6.177585554117744238e+00 -1.060368352294582906e-27
1.064946662233828140e-01 6.230385430648665235e+00 -1.053525202530298295e-27
1.064946662233828140e-01 6.283185307179586232e+00 -1.066955413280182565e-27
1.597419993350742140e-01 0.000000000000000000e+00 -3.496389095209190463e-27
1.597419993350742140e-01 5.279987653092089311e-02 -3.524451231007421361e-27
1.597419993350742140e-01 1.055997530618417862e-01 -3.649712102850568532e-27
1.597419993350742140e-01 1.583996295927626863e-01 -3.521467484900029746e-27
1.597419993350742140e-01 2.111995061236835725e-01 -3.297110174098396380e-27
1.597419993350742140e-01 2.639993826546044864e-01 -3.167480091848850950e-27
1.597419993350742140e-01 3.167992591855253726e-01 -3.080111669237631970e-27
1.597419993350742140e-01 3.695991357164462587e-01 -2.976485911780512676e-27
1.597419993350742140e-01 4.223990122473671449e-01 -2.515278315409227659e-27
1.597419993350742140e-01 4.751988887782880311e-01 -2.133586140694187838e-27
1.597419993350742140e-01 5.279987653092089728e-01 -1.885528564723329516e-27
1.597419993350742140e-01 5.807986418401298589e-01 -1.695078659414284208e-27
1.597419993350742140e-01 6.335985183710507451e-01 -1.358488997331920204e-27
1.597419993350742140e-01 6.863983949019716313e-01 -6.311025484449114050e-28
1.597419993350742140e-01 7.391982714328925175e-01 -1.836978960327833994e-28
1.597419993350742140e-01 7.919981479638134036e-01 1.208519230198438176e-28
1.597419993350742140e-01 8.447980244947342898e-01 4.355717169928689648e-28
1.597419993350742140e-01 8.975979010256551760e-01 9.314258079104965303e-28
1.597419993350742140e-01 9.503977775565760622e-01 1.609128443804235210e-27
1.597419993350742140e-01 1.003197654087496948e+00 1.947399589009778556e-27
1.597419993350742140e-01 1.055997530618417946e+00 2.270453369651837807e-27
1.597419993350742140e-01 1.108797407149338721e+00 2.645819117566635279e-27
1.597419993350742140e-01 1.161597283680259718e+00 3.185656123644406707e-27
1.597419993350742140e-01 1.214397160211180493e+00 3.653638363395705524e-27
